Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_20_382.jpg;0;0.7725042;0;0.4707854;99.76373;85.73115;0.9780902;57.05486;0.002159615
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_20_434.jpg;0;0.6203811;0;0.4811421;99.77948;85.75539;0.9733527;57.24929;-0.001057284
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_20_482.jpg;0;0.6639597;0;0.5138879;99.79055;85.77254;0.9821666;57.37009;-0.001031777
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_20_534.jpg;0;0.7129743;0;0.5228342;99.80816;85.79984;1.013151;57.42897;-0.001273549
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_20_583.jpg;0;0.564302;0;0.5675382;99.82051;85.81902;1.042674;57.44288;-0.0005222224
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_20_633.jpg;0;0.5195618;0;0.5708376;99.84;85.84927;1.098474;57.44365;-0.001041929
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_20_683.jpg;0;0.6693701;0;0.6020087;99.85323;85.86978;1.126354;57.3994;-0.0005798243
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_20_734.jpg;0;0.5204192;0;0.6246521;99.87441;85.90268;1.191824;57.42615;-0.0009113603
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_20_783.jpg;0;0.3705393;0;0.6550522;99.88873;85.92497;1.210895;57.38117;3.41052E-05
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_20_833.jpg;0;0.4255439;0;0.6631687;99.9099;85.95788;1.173443;57.27914;-0.0005198171
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_20_883.jpg;0;0.5705062;0;0.6803168;99.92435;85.98026;1.144935;57.30139;-0.001301331
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_20_933.jpg;0;0.7218549;0;0.7095158;99.94713;86.0155;1.12626;57.27476;-8.896972E-05
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_20_984.jpg;0;0.5729993;0;0.7300745;99.97102;86.05238;1.124124;57.25149;-0.0004970987
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_21_032.jpg;0;0.4196768;0;0.7491247;99.98741;86.07767;1.126057;57.24955;-0.0002681634
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_21_083.jpg;-0.7932342;0.2710454;0;0.7662984;100.004;86.10331;1.124791;57.2464;-0.0002507642
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_21_133.jpg;-3.005357;0.1235706;0;0.7716268;100.0294;86.14158;1.104012;57.14136;0.0001723609
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_21_184.jpg;-2.33493;0;0;0.7688558;100.0464;86.16669;1.071212;57.008;0.0006345981
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_21_233.jpg;-0.05589556;0;0;0.7716786;100.0713;86.20426;0.9999956;56.94256;0.0001317147
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_21_283.jpg;-0.8023453;0;0;0.7695308;100.0876;86.22913;0.9385058;56.9375;0.001307943
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_21_335.jpg;-3.029249;0;0;0.7679231;100.1122;86.26578;0.8303329;56.83313;-0.003597646
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_21_382.jpg;-2.444418;0;0;0.7654843;100.1289;86.28983;0.748968;56.71078;359.9863
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_21_433.jpg;-0.1828829;0;0;0.7640713;100.1531;86.326;0.6159574;56.64024;359.9853
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_21_484.jpg;-1.524642;0;0;0.7617256;100.169;86.35006;0.5221711;56.62724;359.9874
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_21_534.jpg;-3.763315;0;0;0.759876;100.1934;86.38551;0.3771523;56.48614;359.9734
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_21_583.jpg;-6.036466;0;0;0.7569325;100.21;86.4088;0.2795768;56.32444;359.955
